Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
03/27/2025 13:20,03/27/2025 13:20,XAUUSD,Sell,1.820,0.00000,0.00000,3049.79000,3047.98000,-9.1000,0.0000,181.0,296.81,0.74,00:00:00:57,,,,,,,,,,,,
03/27/2025 07:29,03/27/2025 07:39,XAUUSD,Sell,1.700,0.00000,0.00000,3036.30000,3036.45000,-8.5000,0.0000,-15.0,-32.15,-0.08,00:00:10:31,,,,,,,,,,,,
03/27/2025 07:28,03/27/2025 07:39,XAUUSD,Sell,1.700,0.00000,0.00000,3036.03000,3036.44000,-8.5000,0.0000,-41.0,-73.14,-0.18,00:00:11:31,,,,,,,,,,,,
03/27/2025 07:37,03/27/2025 07:39,XAUUSD,Sell,1.700,0.00000,0.00000,3038.36000,3036.48000,-8.5000,0.0000,188.0,287.86,0.72,00:00:02:30,,,,,,,,,,,,
03/27/2025 07:34,03/27/2025 07:39,XAUUSD,Sell,1.700,0.00000,0.00000,3037.36000,3036.46000,-8.5000,0.0000,90.0,133.38,0.34,00:00:05:30,,,,,,,,,,,,
03/27/2025 07:30,03/27/2025 07:39,XAUUSD,Sell,1.700,0.00000,0.00000,3037.20000,3036.48000,-8.5000,0.0000,72.0,105.00,0.27,00:00:09:30,,,,,,,,,,,,
03/26/2025 06:42,03/26/2025 06:42,XAUUSD,Buy,1.700,0.00000,0.00000,3017.12000,3018.33000,-8.5000,0.0000,121.0,182.11,0.46,00:00:00:44,,,,,,,,,,,,
03/26/2025 06:41,03/26/2025 06:42,XAUUSD,Buy,1.700,0.00000,0.00000,3017.52000,3018.33000,-8.5000,0.0000,81.0,119.10,0.30,00:00:01:44,,,,,,,,,,,,
03/26/2025 06:40,03/26/2025 06:42,XAUUSD,Buy,1.700,0.00000,0.00000,3017.75000,3018.27000,-8.5000,0.0000,52.0,73.41,0.19,00:00:02:44,,,,,,,,,,,,
03/24/2025 03:57,03/24/2025 03:58,XAUUSD,Buy,1.700,0.00000,0.00000,3017.38000,3018.89000,-8.5000,0.0000,151.0,228.36,0.59,00:00:01:47,,,,,,,,,,,,
03/24/2025 03:56,03/24/2025 03:58,XAUUSD,Buy,1.700,0.00000,0.00000,3017.89000,3018.89000,-8.5000,0.0000,100.0,148.36,0.38,00:00:02:47,,,,,,,,,,,,
03/20/2025 13:31,03/20/2025 13:33,XAUUSD,Buy,1.700,0.00000,0.00000,3028.85000,3028.99000,-8.5000,0.0000,14.0,13.45,0.03,00:00:02:01,,,,,,,,,,,,
03/20/2025 13:32,03/20/2025 13:33,XAUUSD,Buy,1.700,0.00000,0.00000,3027.24000,3028.97000,-8.5000,0.0000,173.0,262.76,0.68,00:00:01:00,,,,,,,,,,,,
03/20/2025 07:45,03/20/2025 07:47,XAUUSD,Sell,1.700,3056.05000,0.00000,3056.89000,3056.12000,-8.5000,0.0000,77.0,111.53,0.29,00:00:02:41,,,,,,,,,,,,
03/19/2025 06:53,03/19/2025 06:59,XAUUSD,Sell,1.700,0.00000,0.00000,3037.13000,3036.96000,-8.5000,0.0000,17.0,17.92,0.05,00:00:06:43,,,,,,,,,,,,
03/19/2025 06:52,03/19/2025 06:59,XAUUSD,Sell,1.700,0.00000,0.00000,3036.86000,3036.96000,-8.5000,0.0000,-10.0,-24.04,-0.06,00:00:07:43,,,,,,,,,,,,
03/19/2025 06:47,03/19/2025 06:59,XAUUSD,Sell,1.700,0.00000,0.00000,3036.59000,3036.97000,-8.5000,0.0000,-38.0,-67.56,-0.18,00:00:12:43,,,,,,,,,,,,
03/19/2025 06:56,03/19/2025 06:59,XAUUSD,Sell,1.700,0.00000,0.00000,3038.47000,3036.87000,-8.5000,0.0000,160.0,240.15,0.63,00:00:03:42,,,,,,,,,,,,
03/19/2025 06:55,03/19/2025 06:59,XAUUSD,Sell,1.700,0.00000,0.00000,3037.61000,3036.87000,-8.5000,0.0000,74.0,106.50,0.28,00:00:04:42,,,,,,,,,,,,
03/19/2025 06:54,03/19/2025 06:59,XAUUSD,Sell,1.700,0.00000,0.00000,3037.42000,3036.87000,-8.5000,0.0000,55.0,76.97,0.20,00:00:05:42,,,,,,,,,,,,
03/18/2025 11:32,03/18/2025 11:35,XAUUSD,Sell,1.700,3025.72000,0.00000,3026.88000,3025.72000,-8.5000,0.0000,116.0,171.53,0.45,00:00:03:56,,,,,,,,,,,,
03/13/2025 11:33,03/13/2025 11:40,XAUUSD,Sell,1.700,0.00000,0.00000,2943.61000,2943.44000,-8.5000,0.0000,17.0,18.06,0.05,00:00:07:14,,,,,,,,,,,,
03/13/2025 11:38,03/13/2025 11:40,XAUUSD,Sell,1.700,0.00000,0.00000,2944.74000,2943.21000,-8.5000,0.0000,153.0,230.54,0.61,00:00:02:13,,,,,,,,,,,,
03/13/2025 11:35,03/13/2025 11:40,XAUUSD,Sell,1.700,0.00000,0.00000,2943.84000,2943.28000,-8.5000,0.0000,56.0,78.99,0.21,00:00:05:13,,,,,,,,,,,,
03/12/2025 11:53,03/12/2025 11:54,XAUUSD,Sell,1.700,0.00000,0.00000,2920.95000,2919.85000,-8.5000,0.0000,110.0,162.79,0.43,00:00:01:35,,,,,,,,,,,,
03/12/2025 11:52,03/12/2025 11:54,XAUUSD,Sell,1.700,0.00000,0.00000,2920.74000,2919.84000,-8.5000,0.0000,90.0,131.65,0.35,00:00:02:35,,,,,,,,,,,,
03/12/2025 11:50,03/12/2025 11:54,XAUUSD,Sell,1.700,0.00000,0.00000,2920.22000,2919.85000,-8.5000,0.0000,37.0,49.12,0.13,00:00:04:35,,,,,,,,,,,,
